Monthly income,Gender,Earning individual,Responsibility,Mode of income,Network degree,Marriage status,Risk apetite,Location,Age,SIP,AUM,Redemption amount,Redemption count,Months,Cumulative AUM,% Cumulative AUM,AUM/Months,Monthly AUM,Number,Cumulative months,Months moving average
0-49999,M,Alias,No,Business,1st,Single,Moderate,Nagpur,20,5000,134937.95,0,0,24,86371427.63,92.85%,5622.414583,5622.414583,138,7866,57.00125675
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,45,3000,133209.45,33567.16,1,37,86504637.08,93.00%,3600.255405,4507.475946,139,7903,56.85736282
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,43,7000,130768.3,606207.12,11,47,86635405.38,93.14%,2782.304255,15680.32809,140,7950,56.78695308
0-49999,M,Alias,No,Business,3rd,Single,Aggresive,Nagpur,21,5000,129903.88,0,0,32,86765309.26,93.28%,4059.49625,4059.49625,141,7982,56.61115909
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,43,2000,129022.72,0,0,46,86894331.98,93.41%,2804.841739,2804.841739,142,8028,56.53643262
0-49999,M,Alias,No,Business,3rd,Single,Aggresive,Nagpur,19,3000,128666.64,0,0,17,87022998.62,93.55%,7568.625882,7568.625882,143,8045,56.25995407
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,40,2000,127333.99,0,0,49,87150332.61,93.69%,2598.652857,2598.652857,144,8094,56.20953772
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,34,5000,118336.93,0,0,21,87268669.54,93.82%,5635.091905,5635.091905,145,8115,55.96671332
50000-199999,F,Self,Yes,Business,1st,Married,Aggresive,Nagpur,45,5000,117910.09,0,0,21,87386579.63,93.94%,5614.76619,5614.76619,146,8136,55.72721529
0-49999,M,Self,No,Business,1st,Single,Moderate,Nagpur,24,2000,117081.81,0,0,64,87503661.44,94.07%,1829.403281,1829.403281,147,8200,55.78349273
0-49999,F,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,52,5000,114448.14,130000,2,33,87618109.58,94.19%,3468.125455,7407.519394,148,8233,55.62955021
